X,Y,id,amenity,created_by,ref,wheelchair,source,wetap:photo,wetap:status,wetap:statusnote,note:it,description,indoor,fixme,comment:it,comment,name,note,access,comment:en
9.2697948,45.4252876,node/2597738475,drinking_water,,,,,,,,,,,,,,,,,
9.2460403,45.4999128,node/2619661142,drinking_water,,,,,,,,,,,,,,,,private,
9.2547824,45.4470313,node/2627665575,drinking_water,,,,,,,,,,,,,,,,,
9.1082235,45.4750043,node/2634959770,drinking_water,,,,,,,,,,,,,,,,,
9.1488103,45.5133302,node/2659433621,drinking_water,,,,,,,,,,,,,,,,,
9.1928947,45.4855433,node/2698624849,drinking_water,,,,,,,,,,,Position estimated,,,,,,
9.1808143,45.5160365,node/2721259261,drinking_water,,,,,,,,,drago verde,no,,,,,,,
9.1854234,45.4927466,node/2742685858,drinking_water,,,,,,,,,,,,,,,,,
9.1655032,45.4989761,node/2747213362,drinking_water,,,,,,,,,,,,,,,,,
9.1735318,45.4553349,node/2782986341,drinking_water,,,,,,,,,,,,,,,,,
9.2681113,45.4873615,node/2794707887,drinking_water,,,,,,,,,,,,,,,,,
9.1459746,45.4873531,node/2804364306,drinking_water,,,,,,,,,,,,,,,,,
9.1454671,45.4876983,node/2804364395,drinking_water,,,,,,,,,,,,,,,,,
9.145182,45.4884401,node/2804364542,drinking_water,,,,,,,,,,,,,,,,,
9.1854006,45.4392914,node/2828657420,drinking_water,,,,,,,,,,,,,,,,,
9.1581248,45.4420175,node/2829684530,drinking_water,,,,,,,,,,,,,,,,,
9.1762553,45.4983836,node/2836084626,drinking_water,,,,,,,,,,,Position estimated,,,,,,
9.1786144,45.4992029,node/2836084629,drinking_water,,,,,,,,,,,Position estimated,,,,,,
9.1774608,45.4993736,node/2836084630,drinking_water,,,,,,,,,,,Position estimated,,,,,,
9.1773262,45.5026128,node/2836084638,drinking_water,,,,,,,,,,,Position estimated,,,,,,
9.1741123,45.5075603,node/2836084641,drinking_water,,,,,,,,,,,Position estimated,,,,,,
9.1750239,45.5076735,node/2836084642,drinking_water,,,,,,,,,,,Position estimated,,,,,,
9.2655039,45.4171717,node/2838445597,drinking_water,,,,,,,,,,,,,,,,,
9.1903642,45.4803853,node/2880766790,drinking_water,,,,,,,,,,,,,,,,,
9.1678144,45.4609339,node/2880773222,drinking_water,,,,,,,,,,,,,,,,,
9.1653766,45.4591228,node/2880773223,drinking_water,,,,,,,,,,,,,,,,,
9.14198,45.4517173,node/2880773224,drinking_water,,,,,,,,,,,,,,,,,
9.146683,45.4597057,node/2887034885,drinking_water,,,,,,,,,,,,,,,,,
9.1461928,45.4918286,node/2887383938,drinking_water,,,,,,,,,,,,,,,,,
9.1387628,45.4859573,node/2888852316,drinking_water,,,,,,,,,,,,,,,,,
9.2525051,45.4981778,node/2904635951,drinking_water,,,,,,,,,,,,,,,,,
9.2444139,45.4950761,node/2908748885,drinking_water,,,,,,,,,,,,,,,,,
9.1409411,45.5132163,node/2910833808,drinking_water,,,,,,,,,,,,,,,,,
9.1672087,45.49206,node/2915933055,drinking_water,,,,,,,,,,,,,,,,,
9.2112897,45.4407565,node/2920024376,drinking_water,,,,,,,,,,,,,,,,,
